,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Willie Cauley-Stein,GSW,26,5,1,4,17.2,8.0,3.4,6.0,56.7,0.0,0.0,0.0,1.2,1.2,100,1.2,3.8,5.0,1.4,0.2,0.8,0.4,2.8,19.5,0,0,-3.0
Bruce Brown,DET,23,9,4,5,26.9,7.9,2.9,7.3,39.4,0.6,1.8,31.3,1.6,2.3,66.7,0.9,3.2,4.1,2.7,2.3,0.9,0.4,3.6,18.5,0,0,1.1
Patrick Beverley,LAC,31,8,5,3,30.8,7.9,3.0,8.0,37.5,0.9,4.4,20.0,1.0,1.4,72.7,1.1,5.4,6.5,3.1,1.9,1.8,0.4,3.4,24.9,1,0,5.1
Jalen Brunson,DAL,23,7,5,2,20.9,7.9,3.0,8.0,37.5,0.9,3.1,27.3,1.0,2.0,50.0,1.0,2.1,3.1,3.4,0.9,0.4,0.0,1.3,17.2,0,0,5.4
Jarrett Culver,MIN,20,7,4,3,19.8,7.9,3.0,8.6,35.0,1.3,4.0,32.1,0.6,1.9,30.8,0.9,1.7,2.6,1.7,1.7,0.7,0.0,2.0,13.9,0,0,0.7
Josh Okogie,MIN,21,7,4,3,22.0,7.9,2.7,5.3,51.4,0.4,1.7,25.0,2.0,3.1,63.6,1.0,3.9,4.9,2.1,1.7,1.4,0.1,2.1,19.9,0,0,2.6
Kent Bazemore,POR,30,7,3,4,24.5,7.9,2.9,7.9,36.4,1.0,3.1,31.8,1.1,1.9,61.5,0.3,4.7,5.0,1.3,1.6,1.1,1.0,4.1,20.6,0,0,-6.0
Malik Beasley,DEN,22,7,5,2,19.2,7.9,2.9,7.9,36.4,1.7,4.1,41.4,0.4,0.4,100,0.3,1.1,1.4,0.9,1.3,0.9,0.1,1.7,12.6,0,0,-2.1
Shabazz Napier,MIN,28,6,4,2,22.2,7.8,2.2,7.2,30.2,1.2,5.2,22.6,2.3,2.7,87.5,0.2,2.3,2.5,4.5,2.0,1.5,0.5,0.7,21.6,0,0,3.7
Donte DiVincenzo,MIL,22,5,5,0,15.0,7.8,2.8,6.4,43.8,1.8,3.6,50.0,0.4,0.8,50.0,0.8,2.4,3.2,1.2,1.0,0.8,0.4,1.6,16.0,0,0,10.0
Jaxson Hayes,NOP,19,4,1,3,15.8,7.8,3.3,5.3,61.9,0.0,0.5,0.0,1.3,2.0,62.5,2.0,1.8,3.8,1.3,0.8,1.0,0.3,4.5,17.1,0,0,1.0
