,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Semi Ojeleye,BOS,24,6,5,1,12.0,1.2,0.3,1.2,28.6,0.0,0.7,0.0,0.5,0.8,60.0,0.2,1.3,1.5,0.3,0.0,0.2,0.0,1.0,4.0,0,0,1.2
Dennis Smith Jr.,NYK,21,3,0,3,8.7,1.0,0.3,3.7,9.1,0.0,1.0,0.0,0.3,0.7,50.0,0.0,0.3,0.3,1.0,0.7,0.3,0.3,2.0,4.2,0,0,-8.7
Juancho Hernangomez,DEN,24,3,2,1,6.5,1.0,0.3,1.7,20.0,0.3,1.3,25.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,2.4,0,0,1.0
Mfiondu Kabengele,LAC,22,3,2,1,2.2,1.0,0.3,0.7,50.0,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.3,2.4,0,0,-1.0
Rondae Hollis-Jefferson,TOR,24,1,1,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,2.0
Chris Boucher,TOR,26,5,4,1,4.5,0.8,0.0,0.6,0.0,0.0,0.2,0.0,0.8,0.8,100,0.4,0.6,1.0,0.2,0.2,0.0,1.0,0.4,5.1,0,0,-2.0
Terance Mann,LAC,23,5,3,2,3.2,0.8,0.4,0.6,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.0,1.0,0.4,0.2,0.0,0.6,3.7,0,0,0.8
Alfonzo McKinnie,CLE,27,4,1,3,3.6,0.8,0.3,0.3,100,0.3,0.3,100,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.3,0.0,0.0,0.8,1.4,0,0,-1.5
Caleb Swanigan,SAC,22,4,1,3,2.8,0.8,0.3,0.5,50.0,0.0,0.0,0.0,0.3,0.5,50.0,0.3,0.8,1.0,0.0,0.8,0.3,0.5,0.8,3.5,0,0,1.0
Lonnie Walker IV,SAS,20,4,2,2,3.6,0.8,0.3,1.0,25.0,0.0,0.3,0.0,0.3,0.5,50.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.8,1.5,0,0,-3.0
Khyri Thomas,DET,23,2,1,1,2.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,-2.0
Chimezie Metu,SAS,22,1,1,0,3.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-8.0
Daniel Gafford,CHI,21,2,1,1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.6,0,0,-4.5
Daryl Macon,MIA,23,1,1,0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0
De'Anthony Melton,MEM,21,2,0,2,4.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,1.5,1.0,1.0,0.0,0.0,4.9,0,0,-6.5
Derrick Walton Jr.,LAC,24,2,1,1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Drew Eubanks,SAS,22,1,1,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.6,0,0,-3.0
Dzanan Musa,BKN,20,2,1,1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0,0,-7.0
Garrison Mathews,WAS,23,2,1,1,6.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,1.5,1.6,0,0,4.0
Gary Trent Jr.,POR,20,4,2,2,4.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.0,0.3,0.0,0.5,1.7,0,0,-2.8
Jared Harper,PHX,22,1,1,0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0
Jarred Vanderbilt,DEN,20,2,1,1,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.9,0,0,2.0
Jarrell Brantley,UTA,23,1,0,1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,8.1,0,0,7.0
Javonte Green,BOS,26,4,4,0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.3,0.0,0.0,0.0,0.0,1.0,0,0,-1.0
Jaylen Nowell,MIN,20,1,0,1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0
Jordan Bone,DET,22,2,1,1,2.2,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0,0,-2.0
Justin Patton,OKC,22,1,1,0,6.4,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,1.4,0,0,-10.0
KZ Okpala,MIA,20,2,1,1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.1,0,0,-2.5
Kelan Martin,MIN,24,1,1,0,4.9,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.2,0,0,-3.0
Kostas Antetokounmpo,LAL,21,2,2,0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0,0,1.0
Malcolm Miller,TOR,26,1,1,0,4.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.6,0,0,2.0
Nassir Little,POR,19,1,1,0,2.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.0
Nicolas Batum,CHA,30,1,1,0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,5.8,0,0,1.0
Nigel Williams-Goss,UTA,25,3,2,1,2.2,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.2,0,0,0.0
Rodney McGruder,LAC,28,4,2,2,12.4,0.0,0.0,1.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,1.3,1.8,0.3,0.3,0.0,0.3,2.0,3.0,0,0,-8.5
Romeo Langford,BOS,20,1,1,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Stanton Kidd,UTA,27,3,2,1,4.5,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.7,0.0,0.0,0.7,0.6,0,0,0.7
Theo Pinson,BKN,24,1,0,1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.7,0,0,3.0
Vlatko Cancar,DEN,22,1,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
Zach Norvell Jr.,LAL,21,2,2,0,2.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0,0,-2.0
